row_number,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
7420,2023-00015832,,,,,,DWI/DUI,Arrest
7421,2023-00015865,,,,,,Weapon Violation,Arrest
7422,2023-00015976,,,,,,Theft,Investigation Pending
7423,2023-00015994,,,,,,Suspicious Activity,CBE
7424,2023-00016079,,,,,,Theft,Arrest
7425,2023-00016087,,,,,,Injured/Sick Person,CBE
7426,2023-00016127,,,,,,Injured/Sick Person,CBE
7427,2023-00016210,,,,,,Injured/Sick Person,CBE
7428,2023-00016216,,,,,,DWI/DUI,Arrest
7429,2023-00016224,,,,,,Injured/Sick Person,CBE
7430,2023-00016225,,,,,,Injured/Sick Person,CBE
7431,2023-00016229,,,,,,Injured/Sick Person,CBE
7432,2023-00016231,,,,,,Injured/Sick Person,CBE
7433,2023-00016232,,,,,,CDS Violation,CBE
7434,2023-00016352,,,,,,Suspicious Activity,CBE
7435,2023-00016386,,,,,,Injured/Sick Person,CBE
7436,2023-00016405,,,,,,Vandalism,Investigation Pending
7437,2023-00016419,,,,,,CDS Violation,Active/Pending
7438,2023-00016420,,,,,,Theft,Investigation Pending
7439,2023-00016491,,,,,,Other Incident,CBE
7440,2023-00016495,,,,,,Injured/Sick Person,CBE
7441,2023-00016496,,,,,,Injured/Sick Person,CBE
7442,2023-00016502,,,,,,Injured/Sick Person,CBE
7443,2023-00016506,,,,,,Injured/Sick Person,CBE
7444,2023-00016915,,,,,,Other Incident,Unfounded
7445,2023-00017059,,,,,,Assault,Active/Pending
7446,2023-00017070,,,,,,Theft,Investigation Pending
7447,2023-00017340,,,,,,Trespassing,Arrest
7448,2023-00017363,,,,,,Theft,Investigation Pending
7449,2023-00017403,,,,,,Accident - Departmental,CBE
7450,2023-00017404,,,,,,Threat Assessment,Active/Pending
7451,2023-00017414,,,,,,Injured/Sick Person,CBE
7452,2023-00017454,,,,,,DWI/DUI,Arrest
7453,2023-00017459,,,,,,Recovered Stolen Property,CBE
7454,2023-00017546,,,,,,Theft,Unfounded
7455,2023-00017560,,,,,,Injured/Sick Person,CBE
7456,2023-00017626,,,,,,Theft,Investigation Pending
7457,2023-00017676,,,,,,Theft,Investigation Pending
7458,2023-00017701,,,,,,Theft,Investigation Pending
7459,2023-00017855,,,,,,Injured/Sick Person,CBE
7460,2023-00017944,,,,,,Other Incident,Active/Pending
7461,2023-00018036,,,,,,Animal Complaint,CBE
7462,2023-00018427,,,,,,Emergency Petition,CBE
7463,2023-00018455,,,,,,Emergency Petition,CBE
7464,2023-00018458,,,,,,Other Incident,Active/Pending
7465,2023-00018480,,,,,,Accident - Departmental,CBE
7466,2023-00018616,,,,,,CDS Violation,Active/Pending
7467,2023-00018633,,,,,,Traffic Arrest,Arrest
7468,2023-00018664,,,,,,Vandalism,Arrest
7469,2023-00018823,,,,,,Hate Bias Incident,CBE
7470,2023-00018826,,,,,,Injured/Sick Person,CBE
7471,2023-00018903,,,,,,Injured/Sick Person,CBE
7472,2023-00018911,,,,,,Assault,Active/Pending
7473,2023-00018912,,,,,,DWI/DUI,Arrest
7474,2023-00018914,,,,,,Injured/Sick Person,CBE
7475,2023-00018915,,,,,,DWI/DUI,Arrest
7476,2023-00018947,,,,,,Stolen Motor Vehicle,Investigation Pending
7477,2023-00019013,,,,,,Assault,CBE
7478,2023-00019017,,,,,,Extortion,Investigation Pending
7479,2023-00019026,,,,,,Suspicious Activity,Active/Pending
7480,2023-00019125,,,,,,DWI/DUI,Arrest
7481,2023-00019242,,,,,,Emergency Petition,CBE
7482,2023-00019340,,,,,,Title IX Incident Non Criminal,CBE
7483,2023-00019349,,,,,,Theft,Arrest
7484,2023-00019404,,,,,,CDS Violation,Arrest
7485,2023-00019439,,,,,,Check on the Welfare,CBE
7486,2023-00019476,,,,,,Emergency Petition,CBE
7487,2023-00019580,,,,,,Theft,Arrest
7488,2023-00019588,,,,,,Injured/Sick Person,CBE
7489,2023-00019607,,,,,,Title IX Incident Non Criminal,CBE
7490,2023-00019678,,,,,,CDS Violation,Arrest
7491,2023-00019705,,,,,,Theft,Investigation Pending
7492,2023-00019900,,,,,,Injured/Sick Person,CBE
7493,2023-00019953,,,,,,Injured/Sick Person,CBE
7494,2023-00019958,,,,,,Suspicious Person/Auto,CBE
7495,2023-00019960,,,,,,Other Incident,CBE
7496,2023-00020002,,,,,,Other Incident,Active/Pending
7497,2023-00020070,,,,,,Warrant/Summons Service,Arrest
7498,2023-00020294,,,,,,Suspicious Activity,CBE
7499,2023-00020301,,,,,,Emergency Petition,CBE
7500,2023-00020318,,,,,,Threat Assessment,Active/Pending
7501,2023-00020425,,,,,,DWI/DUI,Arrest
7502,2023-00020622,,,,,,Emergency Petition,CBE
7503,2023-00020684,,,,,,Extortion,Investigation Pending
7504,2023-00020759,,,,,,Vandalism,Investigation Pending
7505,2023-00020767,,,,,,Hate Bias Incident,Active/Pending
7506,2023-00020772,,,,,,DWI/DUI,Arrest
7507,2023-00020788,,,,,,Pedestrian Struck,Active/Pending
7508,2023-00020810,,,,,,Assist Other Agency / Other,CBE
7509,2023-00020812,,,,,,Assault,Arrest
7510,2023-00021047,,,,,,Vandalism,Active/Pending
7511,2023-00021065,,,,,,Alcohol Violation,Arrest
7512,2023-00021100,,,,,,Hate Bias Incident,Unfounded
7513,2023-00021102,,,,,,DWI/DUI,Arrest
7514,2023-00021120,,,,,,Assist Other Agency / Other,CBE
7515,2023-00021331,,,,,,Hate Bias Incident,Active/Pending
7516,2023-00021334,,,,,,Theft,Investigation Pending
7517,2023-00021357,,,,,,Accident - Departmental,CBE
7518,2023-00021433,,,,,,DWI/DUI,Arrest
7519,2023-00021514,,,,,,Theft,Investigation Pending
7520,2023-00021519,,,,,,Other Incident,CBE
7521,2023-00021571,,,,,,Burglary,CBE
7522,2023-00021584,,,,,,Theft,Arrest
7523,2023-00021606,,,,,,Injured/Sick Person,CBE
7524,2023-00021641,,,,,,Check on the Welfare,CBE
7525,2023-00021676,,,,,,Injured/Sick Person,CBE
7526,2023-00021692,,,,,,Theft,Investigation Pending
7527,2023-00021703,,,,,,Assist Other Agency / Theft,CBE
7528,2023-00021837,,,,,,Vandalism,Investigation Pending
7529,2023-00021883,,,,,,Injured/Sick Person,CBE
7530,2023-00021889,,,,,,Injured/Sick Person,CBE
7531,2023-00021951,,,,,,CDS Violation,CBE
7532,2023-00021988,,,,,,Suspicious Activity,CBE
7533,2023-00022039,,,,,,Disorderly Conduct,Arrest
7534,2023-00022104,,,,,,Emergency Petition,CBE
7535,2023-00022117,,,,,,Extortion (Title IX Related),Active/Pending
7536,2023-00022173,,,,,,Vandalism,CBE
7537,2023-00022174,,,,,,Injured/Sick Person,CBE
7538,2023-00022231,,,,,,Assist Other Agency / Other,CBE
7539,2023-00022244,,,,,,Threat Assessment,Active/Pending
7540,2023-00022337,,,,,,Extortion,CBE
7541,2023-00022399,,,,,,Injured/Sick Person,CBE
7542,2023-00022450,,,,,,Suspicious Activity,CBE
7543,2023-00022467,,,,,,Theft,Investigation Pending
7544,2023-00022492,,,,,,Theft,Investigation Pending
7545,2023-00022537,,,,,,Injured/Sick Person,CBE
7546,2023-00022542,,,,,,Found/Recovered Property,CBE
7547,2023-00022548,,,,,,Alarm,CBE
7548,2023-00022609,,,,,,Theft,Investigation Pending
7549,2023-00022618,,,,,,Alcohol Violation,Arrest
7550,2023-00022625,,,,,,Assault,Arrest
7551,2023-00022627,,,,,,Assist Other Agency / Death Investigation,CBE
7552,2023-00022772,,,,,,Theft,Investigation Pending
7553,2023-00022792,,,,,,Emergency Petition,CBE
7554,2023-00022799,,,,,,Other Incident,CBE
7555,2023-00022903,,,,,,Injured/Sick Person,CBE
7556,2023-00022908,,,,,,Injured/Sick Person,CBE
7557,2023-00022909,,,,,,Injured/Sick Person,CBE
7558,2023-00022934,,,,,,Injured/Sick Person,CBE
7559,2023-00022935,,,,,,Theft,Investigation Pending
7560,2023-00022945,,,,,,Other Incident,CBE
7561,2023-00022946,,,,,,Theft,Investigation Pending
7562,2023-00022947,,,,,,Injured/Sick Person,CBE
7563,2023-00022965,,,,,,DWI/DUI,Arrest
7564,2023-00023008,,,,,,Injured/Sick Person,CBE
7565,2023-00023053,,,,,,Theft,Investigation Pending
7566,2023-00023109,,,,,,Vandalism,Investigation Pending
7567,2023-00023127,,,,,,Burglary,Investigation Pending
7568,2023-00023156,,,,,,Injured/Sick Person,CBE
7569,2023-00023167,,,,,,Theft,Active/Pending
7570,2023-00023191,,,,,,Injured/Sick Person,CBE
7571,2023-00023221,,,,,,Resisting Arrest,Arrest
7572,2023-00023275,,,,,,Damage to State Property,CBE
7573,2023-00023384,,,,,,Theft,Active/Pending
7574,2023-00023393,,,,,,Animal Complaint,Active/Pending
7575,2023-00023426,,,,,,Rape,CBE
7576,2023-00023472,,,,,,Assist Other Agency / Robbery,CBE
7577,2023-00023512,,,,,,Burglary,Summons Issued
7578,2023-00023634,,,,,,Theft,Arrest
7579,2023-00023667,,,,,,Burglary,Arrest
7580,2023-00023671,,,,,,Assist Other Agency / Other,CBE
7581,2023-00023782,,,,,,Assist Other Agency / Other,CBE
7582,2023-00023848,,,,,,Vandalism,Active/Pending
7583,2023-00023902,,,,,,Theft,Investigation Pending
7584,2023-00023950,,,,,,Injured/Sick Person,CBE
7585,2023-00023964,,,,,,Theft,Active/Pending
7586,2023-00023965,,,,,,Theft,Active/Pending
7587,2023-00024012,,,,,,Recovered Stolen Property,CBE
7588,2023-00024042,,,,,,Trespassing,Arrest
7589,2023-00024204,,,,,,Injured/Sick Person,CBE
7590,2023-00024272,,,,,,Peeping Tom (Title IX Related),Investigation Pending
7591,2023-00024293,,,,,,Injured/Sick Person,CBE
7592,2023-00024367,,,,,,CDS Violation,Arrest
7593,2023-00024456,,,,,,Injured/Sick Person,CBE
7594,2023-00024476,,,,,,Theft,Investigation Pending
7595,2023-00024489,,,,,,Burglary,Active/Pending
7596,2023-00024599,,,,,,Injured/Sick Person,CBE
7597,2023-00024683,,,,,,Injured/Sick Person,CBE
7598,2023-00024692,,,,,,Injured/Sick Person,CBE
7599,2023-00024709,,,,,,Traffic Arrest,Arrest
7600,2023-00024843,,,,,,Other Incident,CBE
7601,2023-00024864,,,,,,Fraud,Arrest
7602,2023-00024943,,,,,,Theft,Investigation Pending
7603,2023-00024976,,,,,,Recovered Stolen Property,CBE
7604,2023-00025052,,,,,,Injured/Sick Person,CBE
7605,2023-00025260,,,,,,Assist Other Agency / Assault,Active/Pending
7606,2023-00025506,,,,,,DWI/DUI,Arrest
7607,2023-00025680,,,,,,False Report/Statement,Arrest
7608,2023-00025684,,,,,,Injured/Sick Person,CBE
7609,2023-00025886,,,,,,Suspicious Person/Auto,CBE
7610,2023-00026430,,,,,,DWI/DUI,Arrest
7611,2023-00026488,,,,,,Emergency Petition,CBE
7612,2023-00026650,,,,,,Theft,Investigation Pending
7613,2023-00026767,,,,,,Suspicious Person/Auto,Active/Pending
7614,2023-00026879,,,,,,Injured/Sick Person,CBE
7615,2023-00026907,,,,,,Assault,Arrest
7616,2023-00027082,,,,,,Injured/Sick Person,CBE
7617,2023-00027224,,,,,,Theft,Active/Pending
7618,2023-00027263,,,,,,Trespassing,Arrest
7619,2023-00027404,,,,,,Theft,Arrest
7620,2023-00027626,,,,,,Injured/Sick Person,CBE
7621,2023-00027629,,,,,,Injured/Sick Person,CBE
7622,2023-00027711,,,,,,CDS Violation,Arrest
7623,2023-00027776,,,,,,Injured/Sick Person,CBE
7624,2023-00027850,,,,,,Suspicious Person/Auto,CBE
7625,2023-00028039,,,,,,Sex Offense (Title IX Related),Arrest
7626,2023-00028054,,,,,,Injured/Sick Person,CBE
7627,2023-00028085,,,,,,Injured/Sick Person,CBE
7628,2023-00028097,,,,,,Damage to State Property,CBE
7629,2023-00028107,,,,,,Damage to State Property,CBE
7630,2023-00028186,,,,,,Indecent Exposure,Arrest
7631,2023-00028229,,,,,,Theft,Investigation Pending
7632,2023-00028269,,,,,,Theft,Investigation Pending
7633,2023-00028368,,,,,,Theft,Active/Pending
7634,2023-00028392,,,,,,Emergency Petition,CBE
7635,2023-00028398,,,,,,Theft,Arrest
7636,2023-00028407,,,,,,Injured/Sick Person,CBE
7637,2023-00028411,,,,,,Injured/Sick Person,CBE
7638,2023-00028540,,,,,,Suspicious Person/Auto,CBE
7639,2023-00028583,,,,,,Injured/Sick Person,CBE
7640,2023-00028593,,,,,,Theft,Investigation Pending
7641,2023-00028596,,,,,,Theft,Investigation Pending
7642,2023-00028638,,,,,,DWI/DUI,Arrest
7643,2023-00028811,,,,,,Assist Other Agency / Check on the Welfare,CBE
7644,2023-00028823,,,,,,Theft,Investigation Pending
7645,2023-00028837,,,,,,Theft,Investigation Pending
7646,2023-00028839,,,,,,Theft,Investigation Pending
7647,2023-00028870,,,,,,Sex Offense (Title IX Related),Active/Pending
7648,2023-00028985,,,,,,Injured/Sick Person,CBE
7649,2023-00029101,,,,,,Injured/Sick Person,CBE
7650,2023-00029239,,,,,,Assist Other Agency / Other,CBE
7651,2023-00029276,,,,,,Injured/Sick Person,CBE
7652,2023-00029335,,,,,,Assist Other Agency / Other,CBE
7653,2023-00029575,,,,,,Injured/Sick Person,CBE
7654,2023-00029595,,,,,,Alcohol Violation,Arrest
7655,2023-00029631,,,,,,Injured/Sick Person,CBE
7656,2023-00029649,,,,,,CDS Violation,Arrest
7657,2023-00029759,,,,,,Injured/Sick Person,CBE
7658,2023-00029806,,,,,,Injured/Sick Person,CBE
7659,2023-00029882,,,,,,Theft,Investigation Pending
7660,2023-00029886,,,,,,Injured/Sick Person,CBE
7661,2023-00029908,,,,,,Theft from Auto,Active/Pending
7662,2023-00029939,,,,,,Injured/Sick Person,CBE
7663,2023-00030024,,,,,,Injured/Sick Person,CBE
7664,2023-00030075,,,,,,Assist Other Agency (Title IX Related) / Indecent Exposure,CBE
7665,2023-00030089,,,,,,Assault,CBE
7666,2023-00030274,,,,,,Theft,Active/Pending
7667,2023-00030325,,,,,,Injured/Sick Person,CBE
7668,2023-00030337,,,,,,DWI/DUI,Arrest
7669,2023-00030351,,,,,,DWI/DUI,Arrest
7670,2023-00030431,,,,,,Vandalism,Investigation Pending
7671,2023-00030597,,,,,,Indecent Exposure,CBE
7672,2023-00030612,,,,,,Emergency Petition,CBE
7673,2023-00030716,,,,,,Warrant/Summons Service,Arrest
7674,2023-00030874,,,,,,Assist Other Agency / Assault,CBE
7675,2023-00030930,,,,,,Injured/Sick Person,CBE
7676,2023-00030937,,,,,,Assist Other Agency / Other,CBE
7677,2023-00031136,,,,,,Other Incident (Title IX Related),Active/Pending
7678,2023-00031147,,,,,,Theft,Investigation Pending
7679,2023-00031149,,,,,,Extortion,Active/Pending
7680,2023-00031215,,,,,,Burglary,Arrest
7681,2023-00031474,,,,,,Theft,Investigation Pending
7682,2023-00031476,,,,,,Check on the Welfare,CBE
7683,2023-00031483,,,,,,Damaged Property,Active/Pending
7684,2023-00031515,,,,,,Injured/Sick Person,CBE
7685,2023-00031583,,,,,,Alcohol Violation,Arrest
7686,2023-00031589,,,,,,Suspicious Activity,CBE
7687,2023-00031598,,,,,,Disorderly Conduct,CBE
7688,2023-00031760,,,,,,Extortion (Title IX Related),Active/Pending
7689,2023-00031915,,,,,,Theft,Arrest
7690,2023-00031920,,,,,,Resisting Arrest,Arrest
7691,2023-00031951,,,,,,Injured/Sick Person,CBE
7692,2023-00031957,,,,,,Injured/Sick Person,CBE
7693,2023-00031975,,,,,,Suspicious Activity,CBE
7694,2023-00032186,,,,,,Theft,Active/Pending
7695,2023-00032191,,,,,,Fire,CBE
7696,2023-00032421,,,,,,Assault,CBE
7697,2023-00032500,,,,,,Theft,Investigation Pending
7698,2023-00032512,,,,,,CDS Violation,CBE
7699,2023-00032537,,,,,,Recovered Stolen Property,Arrest
7700,2023-00032783,,,,,,Injured/Sick Person,CBE
7701,2023-00032869,,,,,,Fraud,Active/Pending
7702,2023-00032874,,,,,,Theft,Active/Pending
7703,2023-00032878,,,,,,Emergency Petition,CBE
7704,2023-00032880,,,,,,Theft,Active/Pending
7705,2023-00032881,,,,,,Theft,Active/Pending
7706,2023-00032882,,,,,,Warrant/Summons Service,Arrest
7707,2023-00033184,,,,,,Damage to State Property,CBE
7708,2023-00033210,,,,,,Theft,Active/Pending
7709,2023-00033246,,,,,,Title IX Incident Non Criminal,CBE
7710,2023-00033297,,,,,,Emergency Petition,CBE
7711,2023-00033416,,,,,,Assist Other Agency / Burglary,CBE
7712,2023-00033432,,,,,,Theft,Investigation Pending
7713,2023-00033456,,,,,,Injured/Sick Person,CBE
7714,2023-00033480,,,,,,Other Incident,CBE
7715,2023-00033490,,,,,,Police Information,Active/Pending
7716,2023-00033497,,,,,,Theft,Investigation Pending
7717,2023-00033561,,,,,,Theft,Investigation Pending
7718,2023-00033563,,,,,,Traffic Offense,Active/Pending
7719,2023-00033566,,,,,,Injured/Sick Person,CBE
7720,2023-00033785,,,,,,Injured/Sick Person,CBE
7721,2023-00033820,,,,,,Assist Other Agency (Title IX Related) / Rape,CBE
7722,2023-00033833,,,,,,Injured Officer,CBE
7723,2023-00033874,,,,,,Theft,Investigation Pending
7724,2023-00033887,,,,,,Injured/Sick Person,CBE
7725,2023-00033890,,,,,,Injured/Sick Person,CBE
7726,2023-00033892,,,,,,Vandalism,Active/Pending
7727,2023-00034102,,,,,,Hate Bias Incident,Active/Pending
7728,2023-00034109,,,,,,Theft,Investigation Pending
7729,2023-00034131,,,,,,Title IX Incident Non Criminal,CBE
7730,2023-00034138,,,,,,Emergency Petition,CBE
7731,2023-00034139,,,,,,Theft,Investigation Pending
7732,2023-00034157,,,,,,Theft,Investigation Pending
7733,2023-00034351,,,,,,Injured/Sick Person,CBE
7734,2023-00034505,,,,,,Assist Other Agency / Check on the Welfare,CBE
7735,2023-00034509,,,,,,Theft,Active/Pending
7736,2023-00034672,,,,,,Injured/Sick Person,CBE
7737,2023-00034696,,,,,,Other Incident,Active/Pending
7738,2023-00034756,,,,,,Fraud,Active/Pending
7739,2023-00034762,,,,,,Assist Other Agency / Death Investigation,CBE
7740,2023-00034769,,,,,,Injured/Sick Person,CBE
7741,2023-00034790,,,,,,Extortion (Title IX Related),Active/Pending
7742,2023-00034804,,,,,,DWI/DUI,Arrest
7743,2023-00034805,,,,,,Assist Other Agency / Vandalism,CBE
7744,2023-00034918,,,,,,Injured/Sick Person,CBE
7745,2023-00034968,,,,,,Hazardous Condition,CBE
7746,2023-00034973,,,,,,Theft,Investigation Pending
7747,2023-00035096,,,,,,Assist Other Agency / Carjacking,CBE
7748,2023-00035177,,,,,,Injured Officer,CBE
7749,2023-00035187,,,,,,Hate Bias Incident,Active/Pending
7750,2023-00035201,,,,,,Injured/Sick Person,CBE
7751,2023-00035212,,,,,,Assist Other Agency / Weapon Violation,CBE
7752,2023-00035219,,,,,,Accident,CBE
7753,2023-00035220,,,,,,Emergency Petition,CBE
7754,2023-00035223,,,,,,Accident - Departmental,CBE
7755,2023-00035234,,,,,,Injured/Sick Person,CBE
7756,2023-00035241,,,,,,Stolen Motor Vehicle,Active/Pending
7757,2023-00035482,,,,,,Threat Assessment,Active/Pending
7758,2023-00035489,,,,,,Injured/Sick Person,CBE
7759,2023-00035493,,,,,,Stolen Motor Vehicle,Investigation Pending
7760,2023-00035495,,,,,,Fraud,Active/Pending
7761,2023-00035506,,,,,,Assist Other Agency / Rape,CBE
7762,2023-00035517,,,,,,Assist Other Agency / Rape,CBE
7763,2023-00035724,,,,,,Injured/Sick Person,CBE
7764,2023-00035820,,,,,,Other Incident,CBE
7765,2023-00035868,,,,,,Theft,Unfounded
7766,2023-00035870,,,,,,Suspicious Activity,Unfounded
7767,2023-00035895,,,,,,Alcohol Violation,Arrest
7768,2023-00035975,,,,,,Injured/Sick Person,CBE
7769,2023-00036006,,,,,,Injured/Sick Person,CBE
7770,2023-00036156,,,,,,Theft,Investigation Pending
7771,2023-00036194,,,,,,Hate Bias Incident,Active/Pending
7772,2023-00036307,,,,,,Theft,Active/Pending
7773,2023-00036358,,,,,,Injured/Sick Person,CBE
7774,2023-00036366,,,,,,Trespassing,Arrest
7775,2023-00036409,,,,,,DWI/DUI,Arrest
7776,2023-00036419,,,,,,Emergency Petition,CBE
7777,2023-00036483,,,,,,Damage to State Property,Active/Pending
7778,2023-00036499,,,,,,Theft,Arrest
7779,2023-00036632,,,,,,Vandalism,Investigation Pending
7780,2023-00036640,,,,,,Disorderly Conduct,Arrest
7781,2023-00036667,,,,,,DWI/DUI,Arrest
7782,2023-00036682,,,,,,DWI/DUI,Arrest
7783,2023-00036725,,,,,,Vandalism,Active/Pending
7784,2023-00036727,,,,,,Assist Other Agency / Trespassing,CBE
7785,2023-00036731,,,,,,Theft,Active/Pending
7786,2023-00036740,,,,,,Theft,Investigation Pending
7787,2023-00036747,,,,,,Other Incident,Active/Pending
7788,2023-00036830,,,,,,Theft from Auto,Investigation Pending
7789,2023-00037025,,,,,,Assist Other Agency / Other,CBE
7790,2023-00037077,,,,,,Theft,Investigation Pending
7791,2023-00037169,,,,,,Accident - Departmental,Active/Pending
7792,2023-00037372,,,,,,Injured Officer,Active/Pending
7793,2023-00037412,,,,,,Other Incident,Active/Pending
7794,2023-00037532,,,,,,Assist Other Agency / Burglary,CBE
7795,2023-00037631,,,,,,Vandalism,Arrest
7796,2023-00037689,,,,,,Vandalism,Active/Pending
7797,2023-00037759,,,,,,Emergency Petition,CBE
7798,2023-00037796,,,,,,Vandalism,Active/Pending
7799,2023-00037975,,,,,,Injured/Sick Person,CBE
7800,2023-00038119,,,,,,Assault,Arrest
7801,2023-00038168,,,,,,Theft,Unfounded
7802,2023-00038195,,,,,,Injured/Sick Person,CBE
7803,2023-00038241,,,,,,Injured/Sick Person,CBE
7804,2023-00038333,,,,,,Other Incident,Active/Pending
7805,2023-00038365,,,,,,Emergency Petition,CBE
7806,2023-00038441,,,,,,Injured/Sick Person,CBE
7807,2023-00038560,,,,,,Theft,Active/Pending
7808,2023-00038579,,,,,,DWI/DUI,Arrest
7809,2023-00038619,,,,,,Hate Bias Incident,Active/Pending
7810,2023-00038629,,,,,,Vandalism,Active/Pending
7811,2023-00038630,,,,,,Injured/Sick Person,CBE
7812,2023-00038632,,,,,,Injured/Sick Person,CBE
7813,2023-00038635,,,,,,Recovered Stolen Motor Vehicle,Arrest
7814,2023-00038662,,,,,,Other Incident,CBE
7815,2023-00038663,,,,,,Injured/Sick Person,CBE
7816,2023-00038666,,,,,,Injured/Sick Person,CBE
7817,2023-00038780,,,,,,Traffic Offense,Warrant Issued
7818,2023-00038782,,,,,,Vandalism,Arrest
7819,2023-00038937,,,,,,Theft,Active/Pending
7820,2023-00038973,,,,,,Emergency Petition,CBE
7821,2023-00041237,,,,,,CDS Violation,Arrest
7822,2023-00039073,,,,,,Weapon Violation,Arrest
7823,2023-00039191,,,,,,Suspicious Person/Auto,Arrest
7824,2023-00039194,,,,,,Theft,Active/Pending
7825,2023-00039219,,,,,,Assist Other Agency / Assault,CBE
7826,2023-00039253,,,,,,Suspicious Activity,Active/Pending
7827,2023-00039256,,,,,,Suspicious Activity,Active/Pending
7828,2023-00039270,,,,,,Accident - Departmental,CBE
7829,2023-00039422,,,,,,Trespassing,Arrest
7830,2023-00039452,,,,,,Emergency Petition,CBE
7831,2023-00039480,,,,,,Burglary,Arrest
7832,2023-00039503,,,,,,Other Incident,CBE
7833,2023-00039520,,,,,,Emergency Petition,CBE
7834,2023-00039525,,,,,,Trespassing,CBE
7835,2023-00039535,,,,,,Hate Bias Incident,Active/Pending
7836,2023-00039679,,,,,,Fire,CBE
7837,2023-00039684,,,,,,Vandalism,Active/Pending
7838,2023-00039720,,,,,,Assist Other Agency / Domestic,CBE
7839,2023-00039731,,,,,,Theft,Investigation Pending
7840,2023-00039735,,,,,,Theft,Investigation Pending
7841,2023-00039752,,,,,,Theft,Investigation Pending
7842,2023-00039770,,,,,,Stolen Motor Vehicle,Arrest
7843,2023-00039780,,,,,,Emergency Petition,CBE
7844,2023-00039814,,,,,,Warrant/Summons Service,Arrest
7845,2023-00039818,,,,,,Emergency Petition,CBE
7846,2023-00039824,,,,,,Injured/Sick Person,CBE
7847,2023-00039835,,,,,,Suspicious Activity,Arrest
7848,2023-00039841,,,,,,CDS Violation,CBE
7849,2023-00040019,,,,,,Fraud,Active/Pending
7850,2023-00040031,,,,,,Other Incident,Active/Pending
7851,2023-00040038,,,,,,Assist Other Agency / Hate Bias Incident,CBE
7852,2023-00040057,,,,,,Emergency Petition,CBE
7853,2023-00040088,,,,,,Damaged Property,CBE
7854,2023-00040142,,,,,,Vandalism,Arrest
7855,2023-00040323,,,,,,Theft,Investigation Pending
7856,2023-00040379,,,,,,Theft,Investigation Pending
7857,2023-00040395,,,,,,Other Incident,Active/Pending
7858,2023-00040433,,,,,,Vandalism,Investigation Pending
7859,2023-00040487,,,,,,Injured/Sick Person,CBE
7860,2023-00040493,,,,,,Theft,Active/Pending
7861,2023-00040540,,,,,,Theft,Active/Pending
7862,2023-00040548,,,,,,Theft,Active/Pending
7863,2023-00040581,,,,,,Injured/Sick Person,CBE
7864,2023-00040583,,,,,,DWI/DUI,Arrest
7865,2023-00040584,,,,,,DWI/DUI,Arrest
7866,2023-00040590,,,,,,Injured/Sick Person,CBE
7867,2023-00040651,,,,,,Injured/Sick Person,CBE
7868,2023-00040747,,,,,,Assist Other Agency / Theft,CBE
7869,2023-00040772,,,,,,Vandalism,Active/Pending
7870,2023-00040776,,,,,,Injured/Sick Person,CBE
7871,2023-00040782,,,,,,Injured/Sick Person,CBE
7872,2023-00040800,,,,,,Disorderly Conduct,Arrest
7873,2023-00040856,,,,,,Assault,Arrest
7874,2023-00040931,,,,,,Theft,Investigation Pending
7875,2023-00040941,,,,,,Traffic Offense,Active/Pending
7876,2023-00040984,,,,,,Theft,Active/Pending
7877,2023-00041034,,,,,,Vandalism,Active/Pending
7878,2023-00041126,,,,,,DWI/DUI,Arrest
7879,2023-00041137,,,,,,Other Incident,CBE
7880,2023-00041151,,,,,,Theft,Active/Pending
7881,2023-00041163,,,,,,Theft,Active/Pending
7882,2023-00041190,,,,,,Theft,Active/Pending
7883,2023-00041244,,,,,,Other Incident,Active/Pending
7884,2023-00041276,,,,,,Theft,Investigation Pending
7885,2023-00041382,,,,,,Injured/Sick Person,CBE
7886,2023-00041385,,,,,,Other Incident,CBE
7887,2023-00041408,,,,,,Theft,Investigation Pending
7888,2023-00041474,,,,,,Assist Other Agency / Other,Active/Pending
7889,2023-00041488,,,,,,Injured/Sick Person,CBE
7890,2023-00041502,,,,,,Damaged Property,Active/Pending
7891,2023-00041570,,,,,,Assault,Arrest
7892,2023-00041574,,,,,,Theft,Investigation Pending
7893,2023-00041576,,,,,,Injured/Sick Person,CBE
7894,2023-00041786,,,,,,Other Incident,Active/Pending
7895,2023-00041838,,,,,,Hazardous Condition,CBE
7896,2023-00042057,,,,,,Theft,Investigation Pending
7897,2023-00042063,,,,,,Harassment/Stalking,Active/Pending
7898,2023-00042111,,,,,,Injured/Sick Person,CBE
7899,2023-00042231,,,,,,DWI/DUI,Arrest
7900,2023-00042235,,,,,,DWI/DUI,Arrest
7901,2023-00042314,,,,,,Damage to State Property,CBE
7902,2023-00042358,,,,,,Theft,Arrest
7903,2023-00042370,,,,,,Other Incident,CBE
7904,2023-00042380,,,,,,Injured/Sick Person,CBE
7905,2023-00042383,,,,,,Injured/Sick Person,CBE
7906,2023-00042384,,,,,,Theft,Active/Pending
7907,2023-00042386,,,,,,Dept Property Damage/Loss,CBE
7908,2023-00042394,,,,,,Theft,Active/Pending
7909,2023-00042498,,,,,,Theft,Unfounded
7910,2023-00042546,,,,,,DWI/DUI,Arrest
7911,2023-00042568,,,,,,Injured/Sick Person,CBE
